Angle_deg,Mass_kg,Bore_mm,Force_N,Volume_L,KE_J,Accel_g
9,38,85.0695914959715,5683.79722984236,211.143911053266,48916.5384263812,14.717813914909
10,38,85.1182289827675,5690.29836932204,211.143911053266,48916.5384263812,14.717813914909
11,38,85.1666454051194,5696.77365076661,211.143911053266,48916.5384263812,14.717813914909
12,38,85.2148264042514,5703.22110174259,211.143911053266,48916.5384263812,14.717813914909
13,38,85.2627577152678,5709.63875829397,211.143911053266,48916.5384263812,14.717813914909
14,38,85.3104251709462,5716.0246655404,211.143911053266,48916.5384263812,14.717813914909
15,38,85.3578147054791,5722.37687827265,211.143911053266,48916.5384263812,14.717813914909
5,39,85.8321699080431,5786.15502604073,215.942636304477,50028.2779360716,14.717813914909
6,39,85.8821042662659,5792.88937710141,215.942636304477,50028.2779360716,14.717813914909
7,39,85.9318740169985,5799.60542586607,215.942636304477,50028.2779360716,14.717813914909
8,39,85.9814642988711,5806.3011265612,215.942636304477,50028.2779360716,14.717813914909
9,39,86.0308603295823,5812.9744396115,215.942636304477,50028.2779360716,14.717813914909
10,39,86.0800474099449,5819.62333226118,215.942636304477,50028.2779360716,14.717813914909
11,39,86.1290109278808,5826.24577919312,215.942636304477,50028.2779360716,14.717813914909
12,39,86.177736362363,5832.83976314583,215.942636304477,50028.2779360716,14.717813914909
13,39,86.2262092873054,5839.40327552792,215.942636304477,50028.2779360716,14.717813914909
14,39,86.274415375399,5845.93431702995,215.942636304477,50028.2779360716,14.717813914909
15,39,86.3223404018953,5852.4308982334,215.942636304477,50028.2779360716,14.717813914909
5,40,86.7806204673814,5914.73624884163,220.741361555687,51140.0174457621,14.717813914909
6,40,86.831106603219,5921.62025214811,220.741361555687,51140.0174457621,14.717813914909
7,40,86.8814263126439,5928.48554644087,220.741361555687,51140.0174457621,14.717813914909
8,40,86.9315645700673,5935.33004048479,220.741361555687,51140.0174457621,14.717813914909
9,40,86.9815064298424,5942.15164938065,220.741361555687,51140.0174457621,14.717813914909
10,40,87.0312370303552,5948.94829520032,220.741361555687,51140.0174457621,14.717813914909
11,40,87.0807415980633,5955.71790761963,220.741361555687,51140.0174457621,14.717813914909
12,40,87.1300054514815,5962.45842454907,220.741361555687,51140.0174457621,14.717813914909
13,40,87.1790140051144,5969.16779276188,220.741361555687,51140.0174457621,14.717813914909
14,40,87.2277527733355,5975.8439685195,220.741361555687,51140.0174457621,14.717813914909
15,40,87.2762073742122,5982.48491819414,220.741361555687,51140.0174457621,14.717813914909
5,41,87.7188166033047,6043.31747164254,225.540086806898,52251.7569554526,14.717813914909
6,41,87.7698485510679,6050.35112719481,225.540086806898,52251.7569554526,14.717813914909
7,41,87.8207122731616,6057.36566701568,225.540086806898,52251.7569554526,14.717813914909
8,41,87.8713925815536,6064.35895440837,225.540086806898,52251.7569554526,14.717813914909
